net_manager,purchase_area,street,zipcode_from,zipcode_to,city,num_connections,delivery_perc,perc_of_active_connections,type_conn_perc,type_of_connection,annual_consume
8716912000008,871691280000000008,Emmastraat,7902BV,7902BX,HOOGEVEEN,35.0,100.0,100.0,69.0,1x25,2464
8716912000008,871691280000000008,Prins Hendrikstraat,7902BZ,7902CA,HOOGEVEEN,30.0,100.0,100.0,50.0,1x40,2776
8716912000008,871691280000000008,Oranjestraat,7902CB,7902CB,HOOGEVEEN,13.0,100.0,100.0,54.0,1x25,2762
8716912000008,871691280000000008,Oranjestraat,7902CC,7902CC,HOOGEVEEN,13.0,100.0,100.0,77.0,1x25,2864
8716912000008,871691280000000008,Grote Kerkstraat,7902CD,7902CG,HOOGEVEEN,26.0,100.0,92.31,38.0,3x25,16195
8716912000008,871691280000000008,Grote Kerkstraat,7902CH,7902CH,HOOGEVEEN,17.0,94.12,100.0,41.0,1x25,4207
8716912000008,871691280000000008,Grote Kerkstraat,7902CJ,7902CJ,HOOGEVEEN,15.0,100.0,100.0,27.0,3x50,31602
8716912000008,871691280000000008,Grote Kerkstraat,7902CK,7902CK,HOOGEVEEN,20.0,100.0,95.0,55.0,3x25,5162
8716912000008,871691280000000008,Grote Kerkstraat,7902CL,7902CL,HOOGEVEEN,10.0,100.0,100.0,50.0,1x40,2550
8716912000008,871691280000000008,Grote Kerkstraat,7902CM,7902CM,HOOGEVEEN,11.0,100.0,100.0,36.0,1x25,5366
8716912000008,871691280000000008,Kleine Kerkstraat,7902CN,7902CR,HOOGEVEEN,22.0,100.0,100.0,64.0,1x40,3576
8716912000008,871691280000000008,Hoofdstraat,7902EA,7902EA,HOOGEVEEN,15.0,100.0,100.0,47.0,3x25,19629
8716912000008,871691280000000008,Hoofdstraat,7902EB,7902EB,HOOGEVEEN,14.0,100.0,100.0,36.0,3x25,10863
8716912000008,871691280000000008,Hoofdstraat,7902EC,7902ED,HOOGEVEEN,21.0,100.0,100.0,38.0,3x25,32698
8716912000008,871691280000000008,Van Echtenplein,7902EE,7902EE,HOOGEVEEN,23.0,95.65,100.0,96.0,1x40,4736
8716912000008,871691280000000008,Hoofdstraat,7902EG,7902EG,HOOGEVEEN,66.0,100.0,100.0,44.0,1x25,8925
8716912000008,871691280000000008,Hoofdstraat,7902EH,7902EH,HOOGEVEEN,13.0,100.0,100.0,46.0,3x25,33046
8716912000008,871691280000000008,Hoofdstraat,7902EJ,7902EJ,HOOGEVEEN,14.0,100.0,100.0,50.0,3x35,26483
8716912000008,871691280000000008,van Echtenstraat,7902EK,7902EK,HOOGEVEEN,36.0,100.0,97.22,36.0,1x40,5194
8716912000008,871691280000000008,van Echtenstraat,7902EL,7902EL,HOOGEVEEN,21.0,95.24,100.0,38.0,1x25,3642
8716912000008,871691280000000008,van Echtenstraat,7902EM,7902EM,HOOGEVEEN,13.0,100.0,100.0,38.0,1x25,3602
8716912000008,871691280000000008,van Echtenstraat,7902EN,7902EN,HOOGEVEEN,14.0,100.0,100.0,57.0,3x25,5129
8716912000008,871691280000000008,van Echtenstraat,7902EP,7902EP,HOOGEVEEN,24.0,100.0,100.0,46.0,1x25,2788
8716912000008,871691280000000008,van Echtenstraat,7902ER,7902ER,HOOGEVEEN,10.0,100.0,100.0,40.0,1x25,3490
8716912000008,871691280000000008,Jakob Elemastraat,7902ET,7902EV,HOOGEVEEN,14.0,100.0,100.0,93.0,1x25,1667
8716912000008,871691280000000008,Van Echtenstraat,7902EW,7902EW,HOOGEVEEN,21.0,100.0,100.0,81.0,1x25,2164
8716912000008,871691280000000008,Bentinckslaan,7902GA,7902GA,HOOGEVEEN,11.0,100.0,100.0,45.0,1x25,3282
8716912000008,871691280000000008,Bentinckslaan,7902GB,7902GB,HOOGEVEEN,20.0,100.0,100.0,50.0,1x40,2625
8716912000008,871691280000000008,Bentinckslaan,7902GC,7902GC,HOOGEVEEN,22.0,100.0,100.0,45.0,1x25,4910
8716912000008,871691280000000008,Bentinckslaan,7902GD,7902GD,HOOGEVEEN,10.0,100.0,100.0,60.0,1x40,3218
8716912000008,871691280000000008,Bentinckslaan,7902GE,7902GG,HOOGEVEEN,32.0,96.88,100.0,38.0,1x40,4613
8716912000008,871691280000000008,Bentinckslaan,7902GH,7902GH,HOOGEVEEN,32.0,100.0,100.0,47.0,1x40,3376
8716912000008,871691280000000008,Bentinckslaan,7902GJ,7902GJ,HOOGEVEEN,12.0,100.0,100.0,75.0,1x40,3730
8716912000008,871691280000000008,Tamboerpassage,7902GK,7902GK,HOOGEVEEN,13.0,100.0,69.23,62.0,3x25,16294
8716912000008,871691280000000008,Tamboerpassage,7902GL,7902GM,HOOGEVEEN,11.0,100.0,100.0,55.0,3x25,31053
8716912000008,871691280000000008,Tamboerpassage,7902GN,7902GP,HOOGEVEEN,18.0,100.0,100.0,44.0,1x25,8187
8716912000008,871691280000000008,Tamboerpassage,7902GR,7902GR,HOOGEVEEN,12.0,100.0,100.0,83.0,1x25,2500
8716912000008,871691280000000008,Tamboerpassage,7902GS,7902GS,HOOGEVEEN,14.0,100.0,100.0,57.0,1x25,2480
8716912000008,871691280000000008,Tamboerpassage,7902GT,7902HA,HOOGEVEEN,17.0,100.0,94.12,53.0,3x25,8369
8716912000008,871691280000000008,Jonkheer de Jongestraat,7902HB,7902HD,HOOGEVEEN,26.0,100.0,100.0,46.0,1x25,2805
8716912000008,871691280000000008,Notaris Mulderstraat,7902HE,7902HJ,HOOGEVEEN,28.0,100.0,100.0,54.0,1x25,4253
8716912000008,871691280000000008,Adriaan Baasstraat,7902HK,7902HK,HOOGEVEEN,16.0,100.0,100.0,63.0,1x25,1269
8716912000008,871691280000000008,Adriaan Baasstraat,7902HL,7902HM,HOOGEVEEN,38.0,100.0,100.0,58.0,1x40,4647
8716912000008,871691280000000008,Adriaan Baasstraat,7902HN,7902HN,HOOGEVEEN,22.0,100.0,100.0,50.0,1x40,2625
8716912000008,871691280000000008,I Philipsonstraat,7902HP,7902HP,HOOGEVEEN,16.0,100.0,100.0,69.0,1x25,2213
8716912000008,871691280000000008,Tandarts Schipperstraat,7902HR,7902HR,HOOGEVEEN,16.0,100.0,100.0,94.0,1x25,2745
8716912000008,871691280000000008,Tandarts Schipperstraat,7902HS,7902HS,HOOGEVEEN,10.0,100.0,100.0,60.0,1x25,3035
8716912000008,871691280000000008,Tandarts Schipperstraat,7902HT,7902HT,HOOGEVEEN,18.0,100.0,100.0,61.0,1x25,2878
8716912000008,871691280000000008,Reinder Eikelboomstraat,7902HV,7902HV,HOOGEVEEN,20.0,100.0,100.0,75.0,1x25,1826
8716912000008,871691280000000008,Gebroeders Poststraat,7902HW,7902HW,HOOGEVEEN,16.0,100.0,100.0,75.0,1x25,3116
8716912000008,871691280000000008,Gebroeders Poststraat,7902HX,7902HX,HOOGEVEEN,16.0,100.0,100.0,75.0,1x25,3260
8716912000008,871691280000000008,Juliana van Stolbergstr,7902HZ,7902HZ,HOOGEVEEN,15.0,100.0,100.0,93.0,1x25,2416
